"REGION","URBANICITY","MAKE","MODEL","BODY_TYP","MOD_YEAR","GVWR","ROLLOVER","IMPACT1","DEFORMED","FIRE_EXP","SPEEDREL","P_CRASH2","ACC_TYPE","AGE","SEX","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","EJECTION","ALCH_TRANS","DRUGS_TRANS"
"3","2","30","40","6","2009","0","0","12","6","0","0","12","6","35","1","2","11","3","1","0","0","0"
"3","2","35","403","14","2015","0","0","12","6","0","0","71","48","61","1","3","11","20","1","0","0","0"
"3","2","99","884","78","9999","9","0","7","9","0","9","60","98","999","9","9","11","99","99","0","0","0"
"3","2","37","402","14","2003","0","0","9","6","0","0","15","82","24","2","1","11","3","20","0","0","0"
"3","2","20","481","34","2007","0","0","12","4","0","0","67","83","19","1","1","11","3","20","0","0","0"
"3","2","37","705","80","1995","0","0","0","6","0","0","5","98","21","1","2","11","5","20","8","0","0"
"3","2","49","40","4","2010","0","0","12","6","0","0","90","8","20","2","3","11","3","20","0","0","0"
"3","2","20","431","16","2002","0","0","8","6","0","0","62","69","47","2","2","11","3","20","0","0","0"
"3","2","72","706","80","2011","0","0","12","6","0","0","78","8","39","1","3","11","19","20","8","0","0"
"3","2","99","499","39","9999","0","0","11","4","0","9","10","64","999","9","9","11","99","99","0","0","0"
"3","2","35","47","4","2017","0","0","11","4","0","0","62","65","59","2","1","11","3","20","0","0","0"
"3","2","99","499","19","9999","0","0","12","6","1","9","54","52","999","9","4","11","99","99","0","0","0"
"3","2","99","499","19","9999","0","0","12","6","1","9","54","52","999","1","4","13","99","99","0","0","0"
"3","2","34","34","4","2007","0","0","12","6","1","0","52","52","25","1","4","11","99","99","0","0","0"
"3","2","35","402","14","9999","0","0","11","9","0","9","15","74","999","1","9","11","99","99","0","0","0"
"4","1","37","709","80","2007","0","0","0","0","0","0","98","0","32","1","3","11","19","99","8","0","0"
"4","1","7","28","2","2015","0","9","61","6","0","4","13","1","53","1","3","11","99","9","1","0","0"
"4","1","49","499","34","9999","0","0","12","9","0","9","12","6","999","1","9","11","99","99","9","0","0"
"4","1","42","48","9","2008","0","0","83","4","0","0","61","45","61","1","2","11","3","20","0","0","0"
"2","2","49","43","4","2008","0","0","12","6","0","0","17","86","66","2","1","11","3","1","0","0","0"
"4","1","76","709","80","2004","0","0","0","2","0","0","61","98","44","1","2","11","19","20","8","0","0"
"4","1","12","481","34","2003","0","1","12","6","1","0","10","50","39","1","4","11","99","99","0","0","0"
"4","1","59","403","14","2017","0","0","12","6","0","0","54","51","62","2","3","11","3","9","0","0","0"
"4","1","59","403","14","2017","0","0","12","6","0","0","54","51","76","1","4","13","3","9","0","0","0"
"4","1","49","46","5","2012","0","0","12","2","0","4","50","20","40","2","1","11","3","20","0","0","0"
"4","1","49","46","5","2012","0","0","12","2","0","4","50","20","35","1","1","13","3","20","0","0","0"
"4","1","37","31","2","1997","0","0","6","2","0","0","53","21","53","2","1","11","3","20","0","0","0"
"4","1","37","31","2","1997","0","0","6","2","0","0","53","21","44","2","1","13","3","99","0","0","0"
"4","1","49","32","4","2007","0","0","12","4","0","4","51","24","58","2","1","11","3","20","0","0","0"
"4","1","54","32","4","1991","0","0","12","6","0","4","52","28","40","2","3","11","99","9","0","0","0"
"4","1","37","441","20","1996","0","0","6","4","0","0","53","29","82","2","1","11","3","20","0","0","0"
"4","1","12","481","34","2002","0","0","99","6","0","0","6","2","17","1","1","11","3","20","0","0","0"
"4","1","30","46","4","2002","0","0","12","4","0","0","17","69","61","1","1","11","3","9","0","0","0"
"2","2","20","37","4","2012","0","0","99","9","0","0","87","13","59","2","9","11","99","99","9","0","0"
"4","1","37","31","4","1996","0","0","83","6","0","0","15","68","52","1","2","11","20","20","0","0","0"
"4","1","99","399","8","9999","0","0","12","9","0","4","51","48","999","9","9","11","99","99","9","0","0"
"4","1","35","43","9","2017","0","0","62","2","0","0","98","92","21","1","1","11","3","20","0","0","0"
"4","1","20","15","5","1985","0","0","61","6","0","0","66","89","68","1","3","11","3","20","0","0","0"
"4","1","49","472","34","1999","0","9","0","9","0","4","6","2","39","1","1","11","3","20","0","0","0"
"4","1","35","446","20","2014","0","0","99","6","0","0","13","1","61","1","1","11","3","9","0","0","0"
"3","1","99","999","99","9999","0","0","99","9","0","0","99","11","999","9","9","11","99","99","0","0","0"
"4","1","35","402","14","2000","0","0","9","6","0","0","17","89","21","1","2","11","3","20","0","0","1"
"4","1","35","402","14","2000","0","0","9","6","0","0","17","89","21","2","1","13","3","20","0","0","0"
"4","1","20","27","4","2015","0","0","1","6","0","0","66","88","27","1","3","13","3","9","0","0","0"
"4","1","23","421","15","2016","0","0","83","4","0","0","61","44","43","2","2","13","3","9","0","0","0"
"4","1","23","421","15","2016","0","0","83","4","0","0","61","44","15","2","1","23","3","20","0","0","0"
"4","1","37","32","9","2001","0","0","12","6","0","0","15","68","25","2","2","11","3","9","0","0","0"
"4","1","12","481","34","2014","0","0","62","4","0","0","62","69","39","2","1","11","3","20","0","0","0"
"4","1","12","481","34","2014","0","0","62","4","0","0","62","69","12","2","1","22","3","20","0","0","0"
"4","1","35","473","34","9999","0","0","12","9","0","4","51","24","999","9","9","11","99","99","9","0","0"
"4","1","35","39","4","1999","0","0","12","4","0","4","50","20","25","2","1","11","20","9","0","0","0"
"4","1","35","39","4","1999","0","0","12","4","0","4","50","20","26","1","2","13","20","9","0","0","0"
"3","2","20","481","34","2009","0","0","12","4","0","0","13","1","41","1","1","11","3","20","0","0","0"
"3","2","20","481","34","2009","0","0","12","4","0","0","13","1","52","1","1","13","3","20","0","0","0"
"3","2","99","884","66","9999","3","0","12","9","0","0","51","24","999","9","9","11","99","99","0","0","0"
"3","2","6","18","4","2015","0","0","6","6","0","0","53","25","51","1","1","11","3","20","0","0","0"
"3","2","49","402","14","2017","0","0","12","6","0","0","51","24","57","2","1","11","3","20","0","0","0"
"3","2","35","47","4","2006","0","0","8","6","0","0","60","45","61","1","1","11","3","20","0","0","0"
"3","2","35","47","4","2006","0","0","8","6","0","0","60","45","59","1","1","13","3","20","0","0","0"
"3","2","35","47","4","2006","0","0","8","6","0","0","60","45","53","2","1","23","3","20","0","0","0"
"3","2","19","24","4","2013","0","1","12","4","0","0","12","6","36","2","1","11","3","20","0","0","0"
