"PERMVIT","RELJCT1","WEIGHT","MAKE","MODEL","ROLLOVER","VNUM_LAN","VTRAFCON","PCRASH5","ACC_TYPE","MDLYR_IM","IMPACT1_IM","PCRASH1_IM","INJ_SEV","REST_USE","AIR_BAG","SEX_IM","AGE_IM"
3,8,78.134540153205,2,405,0,2,0,1,83,2004,12,1,2,3,20,1,34
1,0,160.40766106044907,20,421,0,2,0,4,2,2005,12,1,2,3,20,1,49
3,0,74.9676265834444,35,50,0,2,0,1,21,2014,6,5,2,3,20,1,35
1,0,30.93527989177214,76,705,0,2,0,1,98,2014,0,1,2,19,20,1,22
1,0,47.64461409733746,37,32,1,2,0,4,1,1998,14,14,3,3,9,1,32
3,0,47.64461409733746,12,481,0,2,0,1,24,1998,12,1,2,3,9,1,17
3,0,47.64461409733746,22,20,9,2,0,1,25,1998,6,1,3,3,20,2,71
2,8,47.64461409733746,20,481,0,2,0,1,26,1986,6,11,3,3,20,2,42
3,0,47.64461409733746,7,482,0,2,0,1,21,2017,6,5,3,3,20,1,60
3,0,169.30392942811352,30,46,0,2,0,1,28,2005,12,1,2,3,1,2,18
2,0,176.12195127720176,48,34,0,8,0,1,52,2001,12,1,2,3,20,1,17
2,8,161.23074291317292,12,481,0,2,0,1,22,2002,6,5,2,3,20,2,52
2,0,161.23074291029965,14,402,0,3,98,1,69,2008,12,1,2,3,9,2,30
5,0,47.64461409733746,35,402,0,2,98,1,51,2006,12,14,3,3,9,1,33
1,0,161.23074291029965,20,481,0,2,0,4,2,2004,12,14,2,3,20,1,54
1,0,68.54769641476254,63,34,1,2,0,4,1,2015,12,1,2,3,9,2,16
1,0,47.64461409733746,24,1,0,2,0,4,2,2002,6,14,3,3,20,2,61
1,0,47.64461409733746,12,481,0,2,0,4,1,2003,12,1,3,3,20,2,31
4,8,47.64461409733746,2,404,0,2,98,1,69,2000,12,1,3,3,9,1,63
4,8,47.64461409733746,35,47,0,1,21,1,20,2001,12,1,3,3,9,2,22
4,8,47.64461409733746,18,23,0,2,21,2,98,2006,12,1,3,3,20,1,20
1,1,34.772086691684926,37,705,0,2,0,4,6,1996,12,14,2,19,20,1,23
1,8,51.1546136196789,22,22,1,2,0,4,2,2008,12,1,4,20,20,1,25
3,8,34.19537212880553,12,23,0,2,20,1,87,2014,82,1,2,3,9,2,41
2,0,30.426502214484568,37,709,0,4,0,2,32,2017,12,1,3,19,20,1,22
5,0,41.27880443147942,7,482,1,2,0,2,50,2007,12,1,4,3,8,2,31
5,0,41.27880443147942,12,481,1,2,0,1,51,2001,12,1,4,20,1,1,58
1,0,41.27880443147942,20,16,1,2,0,4,7,1996,12,1,4,3,20,1,29
2,1,133.2060962051663,12,401,0,8,0,3,52,2003,12,16,2,3,9,1,26
2,0,47.404475815708324,12,461,2,2,0,4,1,1999,0,1,3,3,20,1,68
3,0,41.27880443147942,2,403,1,2,0,4,2,1997,12,1,2,3,1,2,19
4,0,35.139319864601404,20,32,0,5,0,1,66,2002,12,1,3,3,8,2,39
2,0,159.80667110301758,2,404,0,2,0,1,21,2009,6,5,2,3,20,2,45
2,0,18.1106267026501,37,32,0,2,0,2,66,2014,11,14,3,3,20,1,20
4,0,19.12105870961536,12,481,9,5,0,4,6,2015,12,1,2,3,8,2,21
2,0,39.59772400457773,37,31,0,8,0,2,64,2005,3,1,3,3,20,2,25
3,8,15.057170468571076,63,38,0,2,0,3,93,2015,12,6,2,3,9,1,28
3,0,27.53492415569608,12,16,0,3,0,1,20,2003,12,1,3,3,1,1,63
3,0,27.53492415569608,20,421,0,3,0,1,21,2011,6,5,2,1,1,2,37
3,0,27.53492415569608,12,481,0,3,0,1,98,2001,6,5,2,3,1,1,34
1,0,15.009055523006237,35,43,0,2,0,1,13,2017,12,14,3,3,1,2,58
4,0,68.38656771536894,37,32,0,3,0,2,47,2017,11,15,2,3,20,1,21
2,0,68.38656771536894,20,37,0,3,20,1,76,2016,1,11,2,3,20,1,29
2,0,68.38656771536894,20,481,0,3,20,1,77,2002,11,1,2,3,20,2,17
2,0,36.67099924127668,37,32,1,2,40,4,2,2005,12,14,4,20,8,1,27
1,0,28.249911999837362,98,703,0,2,0,4,0,2009,0,1,2,5,20,1,53
1,0,27.297360647536284,49,40,0,8,65,1,15,2013,8,1,3,3,20,2,25
1,0,159.4516256512106,37,421,0,8,40,4,8,2008,1,14,2,3,8,2,28
2,1,67.78164858225554,49,40,0,1,21,1,23,2016,6,5,2,3,20,2,73
2,0,26.905154397380983,7,482,0,2,20,1,89,2017,11,1,3,3,20,1,66
2,0,26.905154397380983,87,881,9,2,0,1,88,1990,12,1,3,3,20,1,30
2,0,36.1441133167517,35,39,1,2,0,4,2,2017,10,14,2,20,8,1,24
2,0,28.1329484939001,12,3,0,2,20,1,89,1995,61,1,3,20,9,1,38
2,0,131.69951632182983,20,36,0,2,0,1,45,1996,82,14,2,3,20,2,22
3,0,65.49602804542549,49,40,0,2,20,1,89,2014,11,1,2,3,20,2,56
5,0,13.479437419970813,49,402,0,2,3,1,69,2015,12,1,3,3,8,1,32
3,0,154.50447575431454,12,13,0,2,0,1,31,1998,6,2,2,3,20,1,29
4,0,154.50447575431454,49,40,0,5,3,2,69,2013,12,1,2,3,20,2,24
2,0,65.49602804542549,63,401,0,3,0,1,29,2018,6,2,2,3,20,2,56
1,0,28.287472674067928,6,443,0,2,0,4,1,2017,12,14,3,3,8,2,67
5,0,13.479437419970813,37,31,0,8,0,1,68,2017,12,11,3,3,8,2,47
1,0,53.440286137307346,20,443,0,2,0,4,2,2003,12,1,3,8,1,2,44
1,0,155.21814663177233,37,31,1,2,0,4,2,1997,12,1,2,8,1,1,39
2,8,26.94965435942614,21,21,0,5,0,2,50,2004,12,1,3,3,8,2,20
3,0,161.7230669996959,34,35,0,4,0,1,21,2013,6,5,2,8,20,1,55
1,0,43.52183090308957,37,32,1,8,0,4,6,2017,12,1,3,3,8,2,30
5,0,153.3553804179896,12,3,0,8,97,1,98,1999,6,5,2,8,20,1,39
2,0,33.25545125284368,22,20,0,2,0,2,64,2000,61,15,4,20,9,1,45
1,0,33.25545125284368,20,481,2,2,0,4,1,2006,1,1,4,20,20,1,52
3,0,43.049509964010525,35,51,1,2,0,1,89,2014,61,1,3,3,9,2,60
2,8,65.90088959012313,20,2,0,3,3,1,68,2014,3,11,2,3,2,1,26
1,0,27.826445998664685,20,481,9,2,0,4,1,2001,0,1,3,3,1,2,26
4,0,37.16770997401223,20,473,0,8,0,2,50,2007,12,1,2,99,9,2,31
2,0,37.16770997401223,7,482,1,2,20,1,88,2017,12,1,3,3,2,1,47
2,0,37.16770997401223,22,18,0,2,0,1,89,2001,62,1,3,3,9,1,21
1,0,159.8066710239649,20,22,0,2,0,4,1,2006,63,1,2,3,20,2,28
3,0,160.22431180146347,20,36,0,8,3,1,89,1996,11,1,2,3,20,2,34
2,8,67.14286142389291,18,7,0,8,0,1,48,2003,10,5,2,3,20,2,51
3,8,157.3009050596115,35,47,0,5,3,1,21,2008,6,5,2,3,20,1,57
6,0,66.23651700629242,37,441,0,2,3,1,28,2016,12,1,2,8,1,1,35
6,0,66.23651700629242,37,402,1,2,3,1,29,2014,6,2,2,8,1,1,64
3,0,27.35125562758434,13,1,0,2,0,1,75,2000,12,1,2,3,9,1,38
3,0,27.35125562758434,12,471,0,2,0,7,75,2008,5,11,3,3,9,1,18
1,0,265.2322731719863,72,706,0,4,0,2,98,2013,0,15,2,19,20,1,26
2,0,40.45429683144234,49,45,0,8,0,2,50,2002,12,14,4,8,1,2,63
2,0,40.45429683144234,37,402,0,8,0,1,51,2011,12,14,3,8,8,1,79
2,8,27.351255619744823,7,482,0,3,98,1,24,1996,12,1,2,3,20,1,51
2,8,27.351255619744823,35,47,0,3,98,1,27,2008,6,1,3,3,20,2,25
1,0,27.351255619744823,2,404,0,2,98,4,3,1996,12,1,3,20,9,2,32
4,8,29.833901652245057,37,31,0,8,0,1,89,1996,9,1,3,3,20,1,20
